cell_id,master_topic_id,master_topic,master_topic_purpose,universal_niche_id,universal_niche,topic_specific_niche,operational_meaning,primary_acquisition_families,ontology_object_targets,core_flow,platforms,priority
CELL-0182,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N02,Historical archive,Offices,What happened before.,"AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0183,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N03,Forecast / prediction,Boundaries,What is likely to happen.,"AF18, AF08, AF16","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0184,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N04,Registry / catalogue,Parties,What exists and how it is identified.,"AF01, AF06, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0185,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N05,Geospatial layer,Votes,Where it is.,"AF05, AF09","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0186,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N06,Entity relationships,Campaign finance,"How people, assets, events and systems connect.","AF06, AF02, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0187,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N07,Event / incident feed,Policy positions,What changed or triggered action.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0188,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N08,Risk / compliance layer,Public sentiment,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0189,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N09,Operational workflow,Diplomacy,"What task, case, mission or business process follows.","AF17, AF12, AF20","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0190,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N10,Audit / provenance,Governance indicators,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0191,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N01,Live status,Military assets,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0192,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N02,Historical archive,Incidents,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0193,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N03,Forecast / prediction,Terrorism,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0194,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N04,Registry / catalogue,Crime,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0195,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N05,Geospatial layer,Cyber threats,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0196,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N06,Entity relationships,Humanitarian crises,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0197,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N07,Event / incident feed,Borders,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0198,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N08,Risk / compliance layer,Emergency services,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0199,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N09,Operational workflow,Intelligence reports,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0200,T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises.",N10,Audit / provenance,Rules of engagement/policy,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0201,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N01,Live status,Energy grids,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0202,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N02,Historical archive,Water,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0203,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N03,Forecast / prediction,Wastewater,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0204,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N04,Registry / catalogue,Telecom,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0205,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N05,Geospatial layer,Transport assets,Where it is.,"AF05, AF09","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0206,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N06,Entity relationships,Buildings,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0207,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N07,Event / incident feed,Pipelines,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0208,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N08,Risk / compliance layer,Waste,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0209,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N09,Operational workflow,Maintenance,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0210,T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport.",N10,Audit / provenance,Dependencies,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0211,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N01,Live status,Generation,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0212,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N02,Historical archive,Storage,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0213,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N03,Forecast / prediction,Transmission,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0214,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N04,Registry / catalogue,Markets,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0215,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N05,Geospatial layer,Fuels,Where it is.,"AF05, AF09","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0216,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N06,Entity relationships,Mining,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0217,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N07,Event / incident feed,Renewables,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0218,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N08,Risk / compliance layer,Emissions,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0219,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N09,Operational workflow,Demand,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0220,T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy.",N10,Audit / provenance,Policy/rebates,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0221,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N01,Live status,Crops,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0222,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N02,Historical archive,Livestock,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0223,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N03,Forecast / prediction,Fisheries,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0224,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N04,Registry / catalogue,Soil,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0225,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N05,Geospatial layer,Weather impact,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0226,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N06,Entity relationships,Inputs,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0227,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N07,Event / incident feed,Food processing,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0228,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N08,Risk / compliance layer,Trade,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0229,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N09,Operational workflow,Prices,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0230,T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity.",N10,Audit / provenance,Biosecurity,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0231,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N01,Live status,Planning,What is happening now.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0232,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N02,Historical archive,Buildings,What happened before.,"AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0233,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N03,Forecast / prediction,Housing,What is likely to happen.,"AF18, AF08, AF16","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0234,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N04,Registry / catalogue,Land parcels,What exists and how it is identified.,"AF01, AF06, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0235,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N05,Geospatial layer,Smart city,Where it is.,"AF05, AF09","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0236,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N06,Entity relationships,Public spaces,"How people, assets, events and systems connect.","AF06, AF02, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0237,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N07,Event / incident feed,Construction,What changed or triggered action.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0238,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N08,Risk / compliance layer,Utilities,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0239,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N09,Operational workflow,Risk,"What task, case, mission or business process follows.","AF17, AF12, AF20","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0240,T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance.",N10,Audit / provenance,Maintenance,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0241,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N01,Live status,Roads,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0242,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N02,Historical archive,Rail,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0243,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N03,Forecast / prediction,Aviation,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0244,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N04,Registry / catalogue,Maritime,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0245,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N05,Geospatial layer,Public transit,Where it is.,"AF05, AF09","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0246,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N06,Entity relationships,Vehicles,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0247,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N07,Event / incident feed,Logistics,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0248,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N08,Risk / compliance layer,Mobility patterns,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0249,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N09,Operational workflow,Safety,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0250,T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety.",N10,Audit / provenance,Infrastructure,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0251,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N01,Live status,Company registries,What is happening now.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0252,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N02,Historical archive,Ownership,What happened before.,"AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0253,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N03,Forecast / prediction,Filings,What is likely to happen.,"AF18, AF08, AF16","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0254,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N04,Registry / catalogue,Operations,What exists and how it is identified.,"AF01, AF06, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0255,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N05,Geospatial layer,Contracts,Where it is.,"AF05, AF09","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0256,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N06,Entity relationships,NGOs,"How people, assets, events and systems connect.","AF06, AF02, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0257,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N07,Event / incident feed,Institutions,What changed or triggered action.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0258,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N08,Risk / compliance layer,Legal entities,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0259,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N09,Operational workflow,Reputation,"What task, case, mission or business process follows.","AF17, AF12, AF20","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0260,T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships.",N10,Audit / provenance,Relationships,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0261,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N01,Live status,Jobs,What is happening now.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0262,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N02,Historical archive,Skills,What happened before.,"AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0263,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N03,Forecast / prediction,Wages,What is likely to happen.,"AF18, AF08, AF16","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0264,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N04,Registry / catalogue,Safety,What exists and how it is identified.,"AF01, AF06, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0265,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N05,Geospatial layer,Training,Where it is.,"AF05, AF09","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0266,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N06,Entity relationships,Workforce supply,"How people, assets, events and systems connect.","AF06, AF02, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0267,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N07,Event / incident feed,Productivity,What changed or triggered action.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0268,T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions.",N08,Risk / compliance layer,Labour law,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
